#chan	code	gain	vt50	innse	comment
   0	     0	74.8	102.9	 985	OK
   1	     0	73.0	103.8	 937	OK
   2	     0	74.5	104.5	 928	OK
   3	     0	74.3	104.4	 913	OK
   4	     0	73.9	104.0	 942	OK
   5	     0	71.3	102.3	 934	OK
   6	     0	73.9	102.3	 939	OK
   7	     0	73.2	105.1	 918	OK
   8	     0	73.8	105.1	 934	OK
   9	     0	75.1	105.5	 931	OK
  10	     0	73.0	104.1	 940	OK
  11	     0	72.5	104.1	 904	OK
  12	     0	73.2	103.8	 944	OK
  13	     0	72.7	102.9	 927	OK
  14	     0	73.7	102.5	 943	OK
  15	     0	72.3	103.8	 926	OK
  16	     0	72.1	103.1	 942	OK
  17	     0	72.7	106.1	 952	OK
  18	     0	75.1	104.4	 959	OK
  19	     0	75.5	107.4	 960	OK
  20	     0	72.1	104.5	 967	OK
  21	     0	74.3	107.0	 971	OK
  22	     0	72.0	104.0	 972	OK
  23	     0	69.6	101.5	 971	OK
  24	     0	71.8	100.5	 987	OK
  25	     0	74.0	103.4	 962	OK
  26	     0	69.9	99.2	 961	OK
  27	     0	72.5	103.7	1008	OK
  28	     0	73.4	105.1	1003	OK
  29	     0	74.1	105.4	 973	OK
  30	     0	75.5	105.5	1000	OK
  31	     0	73.6	104.4	1011	OK
  32	     0	71.3	100.1	 984	OK
  33	     0	73.8	106.4	1002	OK
  34	     0	73.5	104.6	1001	OK
  35	     0	71.9	102.6	 970	OK
  36	     0	71.6	102.9	1029	OK
  37	     0	74.4	104.2	 987	OK
  38	     0	73.4	104.4	1004	OK
  39	     0	73.0	105.1	 982	OK
  40	     0	74.1	103.6	1005	OK
  41	     0	74.2	105.9	 998	OK
  42	     0	75.4	106.3	 990	OK
  43	     0	72.8	103.2	1013	OK
  44	     0	74.5	105.3	1024	OK
  45	     0	72.2	101.6	1004	OK
  46	     0	69.3	102.2	1024	OK
  47	     0	72.9	105.5	1020	OK
  48	     0	73.0	105.6	1007	OK
  49	     0	72.9	104.1	1000	OK
  50	     0	70.6	100.7	1014	OK
  51	     0	73.1	102.7	 993	OK
  52	     0	71.5	101.8	 996	OK
  53	     0	71.5	101.9	1018	OK
  54	     0	74.3	104.0	 979	OK
  55	     0	71.9	102.3	1019	OK
  56	     0	73.0	104.0	1008	OK
  57	     0	73.0	102.7	1012	OK
  58	     0	73.8	106.1	1017	OK
  59	     0	73.6	101.9	1024	OK
  60	     0	73.6	106.9	1012	OK
  61	     0	72.2	101.6	 991	OK
  62	     0	72.1	101.6	1008	OK
  63	     0	71.7	101.1	1016	OK
  64	     0	72.3	101.2	1008	OK
  65	     0	74.6	104.5	1013	OK
  66	     0	72.2	104.1	1018	OK
  67	     0	73.1	103.1	1008	OK
  68	     0	71.7	101.4	1003	OK
  69	     0	71.6	100.4	 991	OK
  70	     0	70.5	102.1	1011	OK
  71	     0	71.9	101.0	1027	OK
  72	     0	70.8	102.2	1027	OK
  73	     0	73.3	103.3	1007	OK
  74	     0	71.6	102.2	1009	OK
  75	     0	68.6	99.9	1022	OK
  76	     0	70.4	101.3	1018	OK
  77	     0	75.6	107.0	1009	OK
  78	     0	73.2	103.4	1012	OK
  79	     0	71.7	102.3	1008	OK
  80	     0	71.2	100.2	1000	OK
  81	     0	70.3	101.2	1007	OK
  82	     0	72.0	100.4	1012	OK
  83	     0	72.3	102.3	1020	OK
  84	     0	71.7	100.5	1002	OK
  85	     0	71.9	101.6	1024	OK
  86	     0	73.2	102.5	1013	OK
  87	     0	70.9	99.9	1005	OK
  88	     0	68.6	98.8	1043	OK
  89	     0	72.4	104.8	1004	OK
  90	     0	75.2	104.2	1007	OK
  91	     0	71.3	101.2	1006	OK
  92	     0	71.8	100.6	1013	OK
  93	     0	72.7	102.2	1017	OK
  94	     0	73.1	102.4	 985	OK
  95	     0	73.9	105.5	1017	OK
  96	     0	72.6	102.5	 985	OK
  97	     0	69.6	98.9	1011	OK
  98	     0	70.3	98.7	1018	OK
  99	     0	73.4	102.8	1002	OK
 100	     0	70.9	100.6	1005	OK
 101	     0	72.2	104.2	1007	OK
 102	     0	73.0	101.6	1029	OK
 103	     0	71.5	104.3	1012	OK
 104	     0	73.3	104.4	1014	OK
 105	     0	73.1	103.8	1006	OK
 106	     0	73.2	103.2	1006	OK
 107	     0	69.7	100.9	1006	OK
 108	     0	70.7	101.4	 990	OK
 109	     0	69.8	101.3	1000	OK
 110	     0	71.1	98.5	1046	OK
 111	     0	73.3	103.5	1023	OK
 112	     0	71.0	105.5	1031	OK
 113	     0	70.8	102.8	 986	OK
 114	     0	72.5	100.9	1018	OK
 115	     0	74.4	107.2	1008	OK
 116	     0	72.9	101.4	1004	OK
 117	     0	70.7	102.6	 992	OK
 118	     0	72.5	101.5	1012	OK
 119	     0	70.3	100.0	1008	OK
 120	     0	71.8	104.2	1034	OK
 121	     0	71.8	104.2	1014	OK
 122	     0	72.0	105.1	1004	OK
 123	     0	74.1	104.0	1027	OK
 124	     0	73.0	102.6	1005	OK
 125	     0	70.5	99.7	1008	OK
 126	     0	74.5	104.4	1013	OK
 127	     0	74.0	105.9	1018	OK
 128	     0	75.5	104.5	1016	OK
 129	     0	80.6	114.4	1026	OK
 130	     0	80.2	108.0	1000	OK
 131	     0	79.3	108.7	1017	OK
 132	     0	80.5	112.5	1019	OK
 133	     0	77.1	106.1	1028	OK
 134	     0	79.8	110.0	1027	OK
 135	     0	79.6	111.8	1015	OK
 136	     0	80.2	110.6	1002	OK
 137	     0	76.0	104.8	 991	OK
 138	     0	80.2	111.6	1010	OK
 139	 10000	10.5	49.4	1132	very low gain
 140	     0	77.0	108.0	1001	OK
 141	     0	80.4	113.2	1034	OK
 142	     0	77.0	105.6	1008	OK
 143	     0	77.0	105.7	1000	OK
 144	     0	76.8	107.0	1022	OK
 145	     0	81.0	110.6	 987	OK
 146	     0	77.4	107.5	1027	OK
 147	     0	75.5	104.6	 979	OK
 148	     0	76.1	105.3	1007	OK
 149	     0	79.5	109.3	1009	OK
 150	     0	78.3	109.2	1010	OK
 151	     0	80.2	110.7	 986	OK
 152	     0	78.9	108.5	1002	OK
 153	     0	74.1	101.6	1000	OK
 154	     0	79.7	108.8	1006	OK
 155	     0	79.8	112.4	1036	OK
 156	     0	77.8	106.6	 976	OK
 157	     0	76.5	107.1	 983	OK
 158	     0	77.7	108.9	1000	OK
 159	     0	81.8	114.0	1010	OK
 160	     0	77.1	109.5	1015	OK
 161	     0	76.9	107.1	 963	OK
 162	     0	78.4	110.2	1002	OK
 163	     0	77.9	109.5	1002	OK
 164	     0	77.8	105.3	 990	OK
 165	     0	76.0	104.6	 976	OK
 166	     0	80.1	111.0	 984	OK
 167	     0	77.5	107.7	 976	OK
 168	     0	78.3	109.2	 984	OK
 169	     0	75.4	106.0	 985	OK
 170	     0	77.5	105.4	 968	OK
 171	     0	77.4	107.4	1014	OK
 172	     0	78.1	107.2	 973	OK
 173	     0	77.4	106.9	 985	OK
 174	     0	76.5	105.9	 989	OK
 175	     0	75.5	105.2	 974	OK
 176	     0	78.2	108.2	 999	OK
 177	     0	78.3	108.9	 994	OK
 178	     0	80.8	114.9	1026	OK
 179	     0	81.3	108.4	 983	OK
 180	     0	78.3	109.3	 966	OK
 181	     0	77.1	108.4	 995	OK
 182	     0	79.2	110.7	 986	OK
 183	     0	78.0	107.6	 984	OK
 184	     0	78.3	106.5	 971	OK
 185	     0	75.3	106.0	 974	OK
 186	     0	77.1	105.3	 968	OK
 187	     0	76.5	106.8	 998	OK
 188	     0	77.4	108.9	 989	OK
 189	     0	80.8	112.7	 992	OK
 190	     0	78.0	110.2	 972	OK
 191	     0	81.1	112.2	 992	OK
 192	     0	77.5	106.4	 964	OK
 193	     0	79.7	108.6	 951	OK
 194	     0	77.9	109.4	1000	OK
 195	     0	77.1	106.7	 990	OK
 196	     0	77.3	111.3	 986	OK
 197	     0	75.8	107.5	 970	OK
 198	     0	78.0	106.3	 985	OK
 199	     0	79.1	106.9	 986	OK
 200	     0	78.7	107.6	 990	OK
 201	     0	77.3	110.9	 994	OK
 202	     0	80.4	109.6	 978	OK
 203	     0	78.3	107.6	 981	OK
 204	     0	75.9	104.8	 968	OK
 205	     0	76.6	107.6	 969	OK
 206	     0	77.9	107.6	 975	OK
 207	     0	79.0	110.8	 969	OK
 208	     0	77.9	109.1	 989	OK
 209	     0	76.2	107.0	 991	OK
 210	     0	80.0	111.8	 973	OK
 211	     0	77.4	107.9	 969	OK
 212	     0	79.4	110.5	 988	OK
 213	     0	75.9	106.1	 975	OK
 214	     0	79.1	109.9	 986	OK
 215	     0	76.9	106.5	 958	OK
 216	     0	77.8	111.1	 974	OK
 217	     0	78.0	109.4	 961	OK
 218	     0	77.2	108.1	 949	OK
 219	     0	77.4	109.5	 973	OK
 220	     0	76.6	108.7	 976	OK
 221	     0	77.9	108.8	 957	OK
 222	     0	75.4	106.7	 971	OK
 223	     0	77.7	109.7	 956	OK
