#chan	code	gain	vt50	innse	comment
   0	     4	-340.5	-83.8	   0	inefficient
   1	     4	133.7	-66.7	2702	inefficient
   2	     4	5.6	-66.5	59585	inefficient
   3	     4	-16.6	-65.6	   0	inefficient
   4	     4	-86.9	-86.8	   0	inefficient
   5	     4	27.5	-57.1	11205	inefficient
   6	     4	106.0	-60.2	2867	inefficient
   7	     4	-13.0	-45.6	   0	inefficient
   8	     4	-69.2	-52.7	   0	inefficient
   9	     4	-480.2	-71.1	   0	inefficient
  10	     4	10.5	-54.4	30189	inefficient
  11	     4	-151.9	-47.4	   0	inefficient
  12	     4	48.1	-61.5	6773	inefficient
  13	     4	-79.9	-63.1	   0	inefficient
  14	     4	-130.9	-63.4	   0	inefficient
  15	     4	38.9	-85.3	11132	inefficient
  16	     4	-20.9	-39.1	   0	inefficient
  17	     4	-40.8	-55.8	   0	inefficient
  18	     4	-351.4	-65.9	   0	inefficient
  19	     4	-351.6	-53.9	   0	inefficient
  20	     4	-8.2	-55.7	   0	inefficient
  21	     4	-24.4	-72.0	   0	inefficient
  22	     4	-31.6	-83.2	   0	inefficient
  23	     4	-22.8	-57.4	   0	inefficient
  24	     4	-149.8	-49.1	   0	inefficient
  25	     4	26.4	-63.3	11173	inefficient
  26	     4	-8.6	-54.5	   0	inefficient
  27	     4	1.3	-63.4	236225	inefficient
  28	     4	-158.2	-72.6	   0	inefficient
  29	     4	-0.7	-49.8	   0	inefficient
  30	     4	-38.1	-54.1	   0	inefficient
  31	     4	-67.3	-49.6	   0	inefficient
  32	     4	149.6	-59.9	2160	inefficient
  33	     4	59.8	-78.3	6822	inefficient
  34	     4	126.5	-68.8	2894	inefficient
  35	     4	-17.2	-51.4	   0	inefficient
  36	     4	15.5	-57.8	18357	inefficient
  37	     4	-71.6	-82.7	   0	inefficient
  38	     4	-21.9	-79.7	   0	inefficient
  39	     4	-30.2	-61.7	   0	inefficient
  40	     4	-67.1	-68.5	   0	inefficient
  41	    44	-0.9	0.0	   0	inefficient
  42	     4	-274.4	-61.3	   0	inefficient
  43	     4	-91.4	-303.0	   0	inefficient
  44	     4	-33.8	-66.3	   0	inefficient
  45	     4	-49.6	-47.6	   0	inefficient
  46	     4	-52.7	-51.7	   0	inefficient
  47	     4	-354.4	-58.4	   0	inefficient
  48	     4	-91.4	-69.9	   0	inefficient
  49	     4	-65.9	-73.7	   0	inefficient
  50	     4	-84.2	-164.6	   0	inefficient
  51	     4	-4.3	-59.6	   0	inefficient
  52	     4	-183.7	-56.0	   0	inefficient
  53	     4	-23.6	-43.0	   0	inefficient
  54	     4	-50.8	-59.9	   0	inefficient
  55	     4	-14.3	-61.5	   0	inefficient
  56	     4	-84.0	-66.8	   0	inefficient
  57	     4	29.1	-57.8	10921	inefficient
  58	     4	-14.0	-66.6	   0	inefficient
  59	     4	-29.0	-71.1	   0	inefficient
  60	     4	-132.9	-71.3	   0	inefficient
  61	     4	-5.0	-74.3	   0	inefficient
  62	     4	150.7	-56.5	1883	inefficient
  63	     4	6.2	-49.8	47334	inefficient
  64	     4	-30.4	-57.0	   0	inefficient
  65	     4	145.9	-72.3	2318	inefficient
  66	     4	-125.2	-70.1	   0	inefficient
  67	     4	-40.0	-68.4	   0	inefficient
  68	     4	-91.7	-62.8	   0	inefficient
  69	     4	-156.3	-57.8	   0	inefficient
  70	     4	20.7	-61.1	16617	inefficient
  71	     4	-59.9	-67.2	   0	inefficient
  72	     4	-7.7	-85.5	   0	inefficient
  73	     4	-45.7	-64.8	   0	inefficient
  74	     4	-4.6	-68.0	   0	inefficient
  75	     4	-52.7	-54.3	   0	inefficient
  76	     4	-16.1	-66.8	   0	inefficient
  77	     4	-15.1	-72.8	   0	inefficient
  78	     4	32.4	-56.7	9481	inefficient
  79	     4	-86.1	-57.3	   0	inefficient
  80	     4	-125.9	-63.4	   0	inefficient
  81	     4	-95.8	-55.6	   0	inefficient
  82	     4	-77.8	-57.0	   0	inefficient
  83	     4	10.4	-57.8	31572	inefficient
  84	     4	-93.9	-105.9	   0	inefficient
  85	     4	-72.5	-55.7	   0	inefficient
  86	     4	-373.7	-64.0	   0	inefficient
  87	     4	54.6	-1.7	  25	inefficient
  88	     4	-21.1	-64.0	   0	inefficient
  89	     4	102.7	-81.0	3622	inefficient
  90	     4	-115.8	-58.9	   0	inefficient
  91	     4	-28.8	-58.4	   0	inefficient
  92	     4	92.8	-64.6	3576	inefficient
  93	     4	-31.2	-55.8	   0	inefficient
  94	     4	-207.4	-58.1	   0	inefficient
  95	     4	-6.7	-52.7	   0	inefficient
  96	     4	-230.5	-69.1	   0	inefficient
  97	     4	-45.4	-72.0	   0	inefficient
  98	     4	184.9	-56.4	1631	inefficient
  99	     4	-46.3	-52.6	   0	inefficient
 100	     4	-88.8	-68.5	   0	inefficient
 101	     4	7.0	-60.7	48459	inefficient
 102	     4	33.6	-57.7	9051	inefficient
 103	     4	-17.9	-67.3	   0	inefficient
 104	     4	-64.6	-56.8	   0	inefficient
 105	     4	-117.9	-69.6	   0	inefficient
 106	     4	-159.3	-788.2	   0	inefficient
 107	     4	-228.3	-51.2	   0	inefficient
 108	     4	-17.5	-67.7	   0	inefficient
 109	     4	-133.4	-65.5	   0	inefficient
