#chan	code	gain	vt50	innse	comment
   0	     4	39.3	83.1	16296	inefficient
   1	     4	41.2	76.3	10894	inefficient
   2	     4	40.2	71.2	9678	inefficient
   3	     4	45.3	87.8	8570	inefficient
   4	     4	40.2	74.0	8688	inefficient
   5	     4	42.7	82.0	8362	inefficient
   6	     4	37.2	63.3	8977	inefficient
   7	     4	39.6	68.9	8639	inefficient
   8	     4	42.9	82.3	8065	inefficient
   9	     4	40.1	73.8	8317	inefficient
  10	     4	38.6	67.2	8543	inefficient
  11	     4	37.4	67.1	8669	inefficient
  12	     4	41.7	77.1	8151	inefficient
  13	     4	39.1	63.7	8527	inefficient
  14	     4	38.5	64.3	8623	inefficient
  15	     4	36.6	62.1	8795	inefficient
  16	     4	41.1	75.2	8189	inefficient
  17	     4	55.6	114.4	6613	inefficient
  18	     4	39.8	74.4	8292	inefficient
  19	     4	41.9	80.9	8017	inefficient
  20	     4	38.8	64.7	8506	inefficient
  21	     4	44.4	87.7	7737	inefficient
  22	     4	39.9	77.8	8260	inefficient
  23	     4	39.3	74.5	8142	inefficient
  24	     4	40.3	75.1	8198	inefficient
  25	     4	40.0	72.2	8332	inefficient
  26	     4	39.7	73.3	8302	inefficient
  27	     4	39.3	73.8	8328	inefficient
  28	     4	39.2	68.9	8289	inefficient
  29	     4	38.1	65.9	8489	inefficient
  30	     4	39.9	72.8	8091	inefficient
  31	     4	38.4	66.4	8263	inefficient
  32	     4	40.3	72.8	8210	inefficient
  33	     4	40.1	70.9	8219	inefficient
  34	     4	37.5	58.1	8502	inefficient
  35	     4	41.8	77.2	7999	inefficient
  36	     4	44.8	92.0	7542	inefficient
  37	     4	39.2	69.2	8388	inefficient
  38	     4	37.9	62.2	8582	inefficient
  39	     4	39.4	70.7	8274	inefficient
  40	     4	42.3	85.0	7801	inefficient
  41	     4	42.8	81.2	7901	inefficient
  42	     4	39.8	74.7	8340	inefficient
  43	     4	42.5	76.8	8160	inefficient
  44	     4	38.9	66.7	8368	inefficient
  45	     4	38.2	62.2	8752	inefficient
  46	     4	41.1	72.8	8186	inefficient
