#chan	code	gain	vt50	innse	comment
   0	 80000	55.4	166.4	3426	very high noise
   1	 80000	55.5	172.7	3555	very high noise
   2	 80000	59.3	164.5	3571	very high noise
   3	 80000	57.5	167.0	3586	very high noise
   4	 80000	56.8	150.7	3576	very high noise
   5	 80000	56.2	156.0	3636	very high noise
   6	 80000	58.1	164.6	3674	very high noise
   7	 80000	56.5	155.4	3646	very high noise
   8	 80000	57.2	153.0	3557	very high noise
   9	 80000	57.8	156.1	3557	very high noise
  10	 80000	57.1	159.8	3610	very high noise
  11	 80000	57.1	146.1	3586	very high noise
  12	 80000	55.9	138.2	3591	very high noise
  13	 80000	58.4	156.5	3617	very high noise
  14	 80000	57.1	157.5	3566	very high noise
  15	 80000	57.2	160.9	3643	very high noise
  16	 80000	56.3	146.4	3560	very high noise
  17	 80000	55.5	150.3	3581	very high noise
  18	 80000	56.3	137.4	3551	very high noise
  19	 80000	55.1	152.6	3600	very high noise
  20	 80000	56.0	157.0	3610	very high noise
  21	 80000	56.8	143.7	3562	very high noise
  22	 80000	57.7	148.8	3606	very high noise
  23	 80000	56.6	162.3	3567	very high noise
  24	 90000	54.9	155.7	3615	very low gain
  25	 80000	57.5	160.5	3613	very high noise
  26	 80000	57.3	143.5	3572	very high noise
  27	 80000	55.5	145.6	3529	very high noise
  28	 80000	56.9	165.4	3590	very high noise
  29	 80000	55.4	151.8	3663	very high noise
  30	 80000	57.4	171.6	3676	very high noise
  31	 80000	56.7	152.5	3578	very high noise
  32	 80000	56.7	157.7	3560	very high noise
  33	 80000	57.0	179.7	3574	very high noise
  34	 80000	57.2	153.9	3589	very high noise
  35	 80000	57.4	161.5	3580	very high noise
  36	 80000	55.2	151.5	3644	very high noise
  37	 80000	58.1	169.2	3681	very high noise
  38	 80000	55.5	161.1	3583	very high noise
  39	 80000	55.6	164.9	3631	very high noise
  40	 80000	57.6	137.0	3520	very high noise
  41	 80000	56.9	147.3	3539	very high noise
  42	 80000	56.8	153.5	3577	very high noise
  43	 80000	57.9	151.7	3546	very high noise
  44	 80000	58.0	148.3	3584	very high noise
  45	 80000	57.6	144.5	3517	very high noise
  46	 80000	56.6	168.9	3600	very high noise
  47	 80000	57.5	151.7	3570	very high noise
  48	 80000	59.0	164.1	3570	very high noise
  49	 80000	57.3	151.4	3607	very high noise
  50	 80000	55.8	142.6	3496	very high noise
  51	 80000	56.9	130.2	3489	very high noise
  52	 80000	58.7	142.9	3442	very high noise
  53	 80000	58.9	141.3	3451	very high noise
  54	 80000	59.9	152.1	3500	very high noise
  55	 80000	58.6	166.9	3507	very high noise
  56	 80000	58.4	162.4	3474	very high noise
  57	 80000	58.0	151.9	3503	very high noise
  58	 80000	58.3	163.2	3480	very high noise
  59	 80000	59.6	150.9	3422	very high noise
  60	 80000	59.2	157.6	3498	very high noise
  61	 80000	60.2	148.2	3453	very high noise
  62	 80000	61.9	160.6	3505	very high noise
  63	 80000	60.9	165.3	3502	very high noise
  64	 80000	60.7	170.7	3482	very high noise
  65	 80000	59.7	178.2	3495	very high noise
  66	 80000	62.2	162.4	3391	very high noise
  67	 80000	60.4	159.4	3398	very high noise
  68	 80000	60.8	146.8	3410	very high noise
  69	 80000	59.0	133.4	3370	very high noise
  70	 80000	60.4	159.5	3435	very high noise
  71	 80000	59.0	140.0	3384	very high noise
  72	 80000	62.2	148.1	3426	very high noise
  73	 80000	60.3	144.8	3435	very high noise
  74	 80000	60.1	154.4	3410	very high noise
  75	 80000	58.3	158.3	3450	very high noise
  76	 80000	56.7	135.9	3335	very high noise
  77	 80000	57.9	153.8	3402	very high noise
  78	 80000	59.7	136.4	3353	very high noise
  79	 80000	60.6	167.5	3419	very high noise
  80	 80000	61.9	155.4	3427	very high noise
  81	 80000	61.0	133.4	3327	very high noise
  82	 80000	60.1	124.8	3385	very high noise
  83	 80000	60.0	147.6	3346	very high noise
  84	 80000	59.0	138.3	3442	very high noise
  85	 80000	59.0	151.1	3416	very high noise
  86	 80000	59.2	137.5	3398	very high noise
  87	 80000	58.7	153.0	3438	very high noise
  88	 80000	58.1	138.0	3440	very high noise
  89	 80000	58.2	161.7	3445	very high noise
  90	 80000	60.1	141.7	3490	very high noise
  91	 80000	59.9	147.3	3528	very high noise
  92	 80000	61.2	166.0	3372	very high noise
