#chan	code	gain	vt50	innse	comment
   0	     0	69.0	98.1	1041	OK
   1	     0	67.9	96.8	1042	OK
   2	     0	68.4	98.5	 990	OK
   3	     0	68.4	99.3	1010	OK
   4	     0	68.2	99.4	1000	OK
   5	     0	66.4	97.6	 998	OK
   6	     0	68.2	100.2	1019	OK
   7	     0	66.8	98.1	1016	OK
   8	     0	68.0	98.6	1006	OK
   9	     0	69.5	99.1	1018	OK
  10	     0	67.3	99.9	1001	OK
  11	     0	66.8	96.9	1003	OK
  12	     0	67.4	99.0	1009	OK
  13	     0	66.9	97.6	1000	OK
  14	     0	67.8	97.0	1000	OK
  15	     0	66.6	98.0	 994	OK
  16	     0	66.6	96.7	1019	OK
  17	     0	66.8	99.8	1018	OK
  18	     0	68.6	99.9	1043	OK
  19	     0	69.4	99.0	1036	OK
  20	     0	66.7	99.0	1040	OK
  21	     0	67.8	97.8	1048	OK
  22	     0	66.1	97.1	1053	OK
  23	     0	64.3	95.8	1065	OK
  24	     0	65.9	96.7	1074	OK
  25	     0	67.7	97.2	1076	OK
  26	     0	64.2	96.1	1084	OK
  27	     0	67.0	96.8	1061	OK
  28	     0	67.7	98.1	1079	OK
  29	     0	68.4	98.1	1069	OK
  30	     0	68.3	100.4	1088	OK
  31	     0	67.7	98.0	1081	OK
  32	     0	64.7	97.5	1094	OK
  33	     0	67.5	97.0	1052	OK
  34	     0	67.0	97.9	1081	OK
  35	     0	65.6	97.6	1064	OK
  36	     0	65.8	96.8	1067	OK
  37	     0	67.8	98.0	1108	OK
  38	     0	67.3	97.3	1111	OK
  39	     0	67.2	98.4	1082	OK
  40	     0	67.6	99.5	1092	OK
  41	     0	68.0	99.8	1100	OK
  42	     0	68.7	99.5	1080	OK
  43	     0	66.4	97.6	1104	OK
  44	     0	67.7	99.2	1081	OK
  45	     0	66.3	94.4	1088	OK
  46	     0	63.9	93.4	1077	OK
  47	     0	66.3	99.0	1106	OK
  48	     0	67.0	99.1	1115	OK
  49	     0	66.4	96.7	1108	OK
  50	     0	64.8	95.8	1100	OK
  51	     0	67.0	98.5	1071	OK
  52	     0	66.2	97.3	1113	OK
  53	     0	65.6	94.4	1113	OK
  54	     0	67.2	98.3	1126	OK
  55	     0	65.6	94.9	1103	OK
  56	     0	66.8	98.8	1114	OK
  57	     0	66.6	95.2	1101	OK
  58	     0	67.5	100.2	1122	OK
  59	     0	67.2	98.7	1095	OK
  60	     0	67.1	97.9	1095	OK
  61	     0	65.9	96.8	1129	OK
  62	     0	66.0	95.5	1114	OK
  63	     0	65.2	93.4	1107	OK
  64	     0	65.6	97.2	1096	OK
  65	     0	68.3	99.2	1125	OK
  66	     0	66.3	95.9	1116	OK
  67	     0	66.3	97.8	1111	OK
  68	     0	65.6	96.2	1100	OK
  69	     0	65.0	96.3	1115	OK
  70	     0	64.8	95.4	1112	OK
  71	     0	65.7	96.5	1123	OK
  72	     0	64.8	95.1	1106	OK
  73	     0	67.3	96.4	1103	OK
  74	     0	65.7	97.6	1121	OK
  75	     0	63.5	95.9	1122	OK
  76	     0	64.9	94.3	1108	OK
  77	     0	68.3	102.3	1113	OK
  78	     0	66.7	97.7	1096	OK
  79	     0	65.7	96.8	1089	OK
  80	     0	64.9	96.0	1103	OK
  81	     0	64.5	93.2	1112	OK
  82	     0	65.6	95.8	1096	OK
  83	     0	66.3	96.5	1096	OK
  84	     0	65.9	96.7	1106	OK
  85	     0	65.2	95.4	1122	OK
  86	     0	66.3	97.7	1112	OK
  87	     0	64.9	95.9	1099	OK
  88	     0	63.5	92.6	1109	OK
  89	     0	66.5	95.5	1112	OK
  90	     0	67.8	99.3	1118	OK
  91	     0	65.2	93.9	1114	OK
  92	     0	66.1	95.2	1107	OK
  93	     0	66.9	96.4	1071	OK
  94	     0	66.4	98.1	1112	OK
  95	     0	68.1	97.6	1107	OK
  96	     0	66.3	97.0	1095	OK
  97	     0	63.3	92.6	1094	OK
  98	     0	64.3	95.7	1114	OK
  99	     0	67.3	98.2	1091	OK
 100	     0	65.0	96.2	1085	OK
 101	     0	66.5	98.1	1075	OK
 102	     0	66.6	98.8	1094	OK
 103	     0	66.0	96.3	1090	OK
 104	     0	66.5	97.4	1092	OK
 105	     0	66.8	98.0	1099	OK
 106	     0	66.0	96.4	1107	OK
 107	     0	63.6	93.1	1111	OK
 108	     0	64.9	95.6	1087	OK
 109	     0	64.2	94.7	1107	OK
 110	     0	64.7	94.9	1098	OK
 111	     0	66.9	95.4	1093	OK
 112	     0	65.7	94.8	1110	OK
 113	     0	64.4	94.8	1142	OK
 114	     0	66.0	95.7	1105	OK
 115	     0	67.6	100.3	1091	OK
 116	     0	67.4	97.0	1087	OK
 117	     0	64.5	96.2	1100	OK
 118	     0	66.4	96.5	1094	OK
 119	     0	64.6	95.1	1084	OK
 120	     0	66.0	96.8	1107	OK
 121	     0	66.2	98.1	1099	OK
 122	     0	65.3	96.5	1098	OK
 123	     0	68.0	97.9	1098	OK
 124	     0	66.2	96.5	1079	OK
 125	     0	65.0	95.3	1094	OK
 126	     0	68.1	100.6	1084	OK
 127	     0	67.9	97.3	1093	OK
 128	     0	69.0	101.2	1107	OK
 129	     0	73.6	104.1	1089	OK
 130	     0	72.7	102.4	1087	OK
 131	     0	72.0	101.5	1105	OK
 132	     0	73.2	104.7	1132	OK
 133	     0	70.1	100.5	1126	OK
 134	     0	72.2	102.1	1094	OK
 135	     0	73.2	105.7	1117	OK
