#chan	code	gain	vt50	innse	comment
   0	     4	88.4	131.4	3249	inefficient
   1	     4	82.7	126.9	3249	inefficient
   2	     4	78.4	103.7	3719	inefficient
   3	     4	86.4	138.9	2985	inefficient
   4	     4	85.3	138.5	2946	inefficient
   5	     4	83.0	110.3	3601	inefficient
   6	     4	82.3	120.7	3343	inefficient
   7	     4	81.8	124.3	3387	inefficient
   8	     4	87.8	143.2	2877	inefficient
   9	     4	80.9	120.7	3362	inefficient
  10	     4	81.9	129.9	3147	inefficient
  11	     4	83.9	129.2	3154	inefficient
  12	     4	81.9	108.4	3702	inefficient
  13	     4	82.4	114.3	3585	inefficient
  14	     4	79.8	115.8	3538	inefficient
  15	     4	81.2	109.3	3643	inefficient
  16	     4	81.6	116.7	3530	inefficient
  17	     4	82.8	145.9	2777	inefficient
  18	     4	84.9	137.1	3091	inefficient
  19	     4	85.3	148.7	2744	inefficient
  20	     4	83.9	121.7	3427	inefficient
  21	     4	84.8	123.6	3407	inefficient
  22	     4	86.1	147.3	2768	inefficient
  23	     4	80.9	105.0	3789	inefficient
  24	     4	85.9	138.2	3037	inefficient
  25	     4	87.1	149.8	2724	inefficient
  26	     4	85.3	134.7	3207	inefficient
  27	     4	84.2	130.6	3258	inefficient
  28	     4	80.7	121.6	3426	inefficient
  29	     4	80.6	111.5	3635	inefficient
  30	     4	79.5	110.7	3656	inefficient
  31	     4	85.1	152.3	2640	inefficient
  32	     4	80.7	119.7	3487	inefficient
  33	     4	84.2	142.8	2875	inefficient
  34	     4	83.5	111.0	3660	inefficient
  35	     4	83.6	130.2	3200	inefficient
  36	     4	81.4	111.0	3688	inefficient
  37	     4	81.8	119.9	3502	inefficient
  38	     4	76.7	89.1	3882	inefficient
  39	     4	84.6	129.9	3284	inefficient
  40	     4	85.0	109.5	3744	inefficient
  41	     4	85.8	164.0	2541	inefficient
  42	     4	82.7	119.6	3459	inefficient
  43	     4	82.2	119.1	3448	inefficient
  44	     4	80.1	114.1	3641	inefficient
  45	     4	85.0	131.6	3204	inefficient
  46	     4	82.6	114.7	3569	inefficient
  47	     4	81.3	107.2	3694	inefficient
  48	     4	82.8	124.0	3335	inefficient
  49	     4	78.9	101.3	3785	inefficient
  50	     4	81.3	103.9	3811	inefficient
  51	     4	82.8	121.3	3540	inefficient
  52	     4	82.0	127.2	3335	inefficient
  53	     4	83.6	105.2	3819	inefficient
  54	     4	81.7	110.0	3735	inefficient
  55	     4	88.0	162.3	2667	inefficient
  56	     4	81.4	133.0	3193	inefficient
  57	     4	85.3	128.6	3385	inefficient
  58	     4	79.7	118.2	3528	inefficient
  59	     4	79.5	113.9	3586	inefficient
  60	     4	83.7	124.0	3460	inefficient
  61	     4	80.4	104.5	3739	inefficient
  62	     4	84.8	141.2	3001	inefficient
  63	     4	82.2	117.1	3630	inefficient
  64	     4	85.7	126.9	3415	inefficient
  65	     4	81.6	123.2	3453	inefficient
  66	     4	87.4	146.3	2902	inefficient
  67	     4	81.1	107.4	3762	inefficient
  68	     4	81.3	113.3	3623	inefficient
  69	     4	80.7	131.8	3210	inefficient
  70	     4	84.2	132.0	3268	inefficient
  71	     4	81.1	119.8	3491	inefficient
  72	     4	82.8	141.6	2902	inefficient
  73	     4	82.2	131.9	3210	inefficient
  74	     4	80.6	101.5	3853	inefficient
  75	     4	80.7	112.6	3654	inefficient
  76	     4	83.2	145.3	2830	inefficient
  77	     4	80.4	111.6	3660	inefficient
  78	     4	81.0	109.9	3709	inefficient
  79	     4	82.8	129.1	3314	inefficient
  80	     4	83.3	136.5	3089	inefficient
  81	     4	80.8	119.0	3574	inefficient
  82	     4	75.8	97.1	3831	inefficient
  83	     4	82.5	115.8	3633	inefficient
  84	     4	78.3	104.9	3746	inefficient
  85	     4	77.2	92.3	3935	inefficient
  86	     4	79.6	105.7	3735	inefficient
  87	     4	82.0	119.8	3554	inefficient
  88	     4	86.2	141.6	3044	inefficient
  89	     4	80.7	117.4	3624	inefficient
  90	     4	80.4	119.6	3565	inefficient
  91	     4	81.6	112.4	3697	inefficient
  92	     4	81.6	124.9	3404	inefficient
  93	     4	83.6	137.2	3091	inefficient
  94	     4	82.1	129.4	3254	inefficient
  95	     4	81.0	111.8	3690	inefficient
  96	     4	81.5	122.2	3516	inefficient
  97	     4	79.7	114.9	3588	inefficient
  98	     4	79.9	111.2	3697	inefficient
  99	     4	81.5	118.2	3544	inefficient
 100	     4	82.7	118.9	3566	inefficient
 101	     4	82.6	122.2	3488	inefficient
 102	     4	80.8	95.9	3902	inefficient
 103	     4	82.5	123.7	3481	inefficient
 104	     4	86.6	144.6	2927	inefficient
 105	     4	85.6	133.7	3270	inefficient
 106	     4	84.9	125.0	3455	inefficient
 107	     4	85.1	147.8	2836	inefficient
 108	     4	84.9	126.7	3426	inefficient
 109	     4	80.7	106.1	3808	inefficient
 110	     4	83.1	126.4	3401	inefficient
 111	     4	75.5	98.5	3854	inefficient
 112	     4	76.8	92.8	3964	inefficient
 113	     4	80.5	134.0	3165	inefficient
 114	     4	83.7	143.8	2928	inefficient
 115	     4	82.6	151.2	2675	inefficient
 116	     4	82.4	122.5	3560	inefficient
 117	     4	85.1	145.7	2912	inefficient
 118	     4	81.0	119.2	3535	inefficient
 119	     4	80.1	109.8	3758	inefficient
 120	     4	85.8	156.8	2683	inefficient
