#chan	code	gain	vt50	innse	comment
 256	 80000	74.3	167.2	2038	very high noise
 257	 80000	78.7	180.2	1994	very high noise
 258	     4	62.8	75.0	4213	inefficient
 259	     4	69.4	95.5	4147	inefficient
 260	 80000	75.3	137.4	3185	very high noise
 261	     4	63.4	74.2	4145	inefficient
 262	     4	66.4	94.6	4301	inefficient
 263	     4	68.3	93.9	4227	inefficient
 264	     4	65.8	90.7	4187	inefficient
 265	 80000	76.9	176.3	1998	very high noise
 266	     4	66.5	86.9	4186	inefficient
 267	     4	69.7	102.2	4152	inefficient
 268	     4	65.1	84.5	4282	inefficient
 269	     4	65.9	91.7	4341	inefficient
 270	 80000	75.5	163.3	2108	very high noise
 271	     4	64.6	84.2	4245	inefficient
 272	     4	62.9	75.9	4133	inefficient
 273	     4	63.8	78.0	4079	inefficient
 274	 80000	72.7	204.0	2043	very high noise
 275	 80000	78.0	187.6	1973	very high noise
 276	 80000	76.4	172.0	2010	very high noise
 277	 80000	75.1	201.6	2021	very high noise
 278	     4	64.4	83.0	4160	inefficient
 279	     4	69.6	96.9	4095	inefficient
 280	     4	69.2	94.1	4139	inefficient
 281	     4	63.5	80.0	4123	inefficient
 282	 80000	78.3	178.2	1986	very high noise
 283	     4	68.7	98.9	4077	inefficient
 284	 80000	75.1	182.4	1937	very high noise
 285	 80000	75.8	187.0	1962	very high noise
 286	     4	66.4	88.2	4193	inefficient
 287	     4	65.3	85.3	4199	inefficient
 288	 80000	76.4	184.7	1986	very high noise
 289	     4	66.4	86.6	4142	inefficient
 290	 80000	75.1	183.4	1993	very high noise
 291	     4	67.0	88.4	4126	inefficient
 292	     4	64.0	72.2	4018	inefficient
 293	     4	67.4	87.5	4236	inefficient
 294	 80000	77.2	178.6	2017	very high noise
 295	     4	67.2	88.4	4217	inefficient
 296	 80000	77.8	152.2	2673	very high noise
 297	     4	72.6	108.8	4026	inefficient
 298	     4	65.6	89.6	4138	inefficient
 299	     4	64.5	83.3	4180	inefficient
 300	 80000	77.9	173.9	2004	very high noise
 301	     4	69.3	100.9	4150	inefficient
 302	     4	65.5	92.5	4126	inefficient
