#chan	code	gain	vt50	innse	comment
   0	 80000	61.6	194.4	3397	very high noise
   1	 80000	60.8	200.0	3490	very high noise
   2	 80000	63.9	193.8	3503	very high noise
   3	 80000	61.9	195.9	3557	very high noise
   4	 80000	61.5	178.4	3557	very high noise
   5	 80000	60.5	183.0	3570	very high noise
   6	 80000	62.2	194.1	3617	very high noise
   7	 80000	61.6	183.7	3643	very high noise
   8	 80000	61.4	181.9	3576	very high noise
   9	 80000	62.2	185.4	3580	very high noise
  10	 80000	61.6	187.7	3572	very high noise
  11	 80000	61.6	176.0	3572	very high noise
  12	 80000	60.5	166.6	3593	very high noise
  13	 80000	63.1	186.1	3589	very high noise
  14	 80000	61.0	186.0	3584	very high noise
  15	 80000	61.0	189.2	3618	very high noise
  16	 80000	61.0	174.9	3542	very high noise
  17	 80000	59.7	178.1	3585	very high noise
  18	 80000	61.2	166.1	3527	very high noise
  19	 80000	59.4	180.0	3573	very high noise
  20	 80000	60.6	185.0	3561	very high noise
  21	 80000	61.4	172.8	3563	very high noise
  22	 80000	62.4	178.1	3602	very high noise
  23	 80000	61.0	189.7	3583	very high noise
  24	 80000	59.8	182.9	3573	very high noise
  25	 80000	62.3	189.8	3543	very high noise
  26	 80000	61.7	172.5	3581	very high noise
  27	 80000	60.2	173.6	3582	very high noise
  28	 80000	60.4	192.9	3580	very high noise
  29	 80000	59.9	179.6	3587	very high noise
  30	 80000	61.9	199.9	3558	very high noise
  31	 80000	61.0	180.6	3545	very high noise
  32	 80000	61.2	186.1	3547	very high noise
  33	 80000	60.7	207.1	3573	very high noise
  34	 80000	61.8	181.6	3581	very high noise
  35	 80000	61.4	189.7	3543	very high noise
  36	 80000	60.3	179.4	3582	very high noise
  37	 80000	62.9	198.1	3607	very high noise
  38	 80000	60.0	189.1	3577	very high noise
  39	 80000	60.2	192.8	3582	very high noise
  40	 80000	62.0	165.8	3526	very high noise
  41	 80000	61.4	175.9	3568	very high noise
  42	 80000	60.8	181.6	3565	very high noise
  43	 80000	62.7	180.6	3576	very high noise
  44	 80000	62.6	178.1	3533	very high noise
  45	 80000	62.3	173.4	3533	very high noise
  46	 80000	61.2	197.1	3553	very high noise
  47	 80000	61.7	180.7	3512	very high noise
  48	 80000	63.2	192.7	3531	very high noise
  49	 80000	62.6	180.7	3526	very high noise
  50	 80000	60.8	170.8	3442	very high noise
  51	 80000	61.9	158.4	3442	very high noise
  52	 80000	63.3	172.3	3445	very high noise
  53	 80000	63.8	170.8	3476	very high noise
  54	 80000	64.0	182.6	3460	very high noise
  55	 80000	62.8	195.8	3461	very high noise
  56	 80000	63.0	190.6	3405	very high noise
  57	 80000	62.7	181.5	3416	very high noise
  58	 80000	62.1	192.4	3457	very high noise
  59	 80000	63.9	180.2	3459	very high noise
  60	 80000	63.2	186.6	3467	very high noise
  61	 80000	64.6	177.8	3483	very high noise
  62	 80000	65.9	191.2	3470	very high noise
  63	 80000	65.5	195.2	3457	very high noise
  64	 80000	64.8	201.1	3443	very high noise
  65	 80000	64.4	207.4	3410	very high noise
  66	 80000	66.4	193.0	3397	very high noise
