#chan	code	gain	vt50	innse	comment
   0	     0	75.3	103.6	 962	OK
   1	     0	73.8	104.1	 920	OK
   2	     0	74.6	105.0	 917	OK
   3	     0	74.6	104.9	 904	OK
   4	     0	74.8	105.2	 908	OK
   5	     0	72.5	103.0	 906	OK
   6	     0	74.2	106.2	 911	OK
   7	     0	73.4	105.7	 918	OK
   8	     0	74.6	105.4	 915	OK
   9	     0	75.3	106.7	 908	OK
  10	     0	73.8	105.0	 915	OK
  11	     0	73.1	105.3	 931	OK
  12	     0	74.1	107.6	 910	OK
  13	     0	73.2	103.4	 934	OK
  14	     0	74.5	102.4	 928	OK
  15	     0	72.8	104.5	 925	OK
  16	     0	72.4	103.7	 939	OK
  17	     0	73.4	103.5	 919	OK
  18	     0	75.3	107.7	 932	OK
  19	     0	76.3	105.2	 945	OK
  20	     0	73.1	101.9	 938	OK
  21	     0	74.1	106.6	 956	OK
  22	     0	72.8	104.7	 935	OK
  23	     0	70.1	102.3	 954	OK
  24	     0	72.3	104.0	 998	OK
  25	     0	74.3	103.5	 967	OK
  26	     0	70.0	99.6	 992	OK
  27	     0	73.6	104.4	 947	OK
  28	     0	73.7	103.5	 972	OK
  29	     0	75.4	106.0	 961	OK
  30	     0	76.2	106.2	 978	OK
  31	     0	74.3	105.2	 975	OK
  32	     0	71.9	100.3	 975	OK
  33	     0	74.2	103.4	 957	OK
  34	     0	73.9	105.5	 990	OK
  35	     0	72.2	103.2	 977	OK
  36	     0	72.7	102.4	 985	OK
  37	     0	74.7	104.8	 975	OK
  38	     0	73.8	105.0	 987	OK
  39	     0	73.6	102.1	 957	OK
  40	     0	74.6	104.6	 958	OK
  41	     0	75.5	104.1	 993	OK
  42	     0	76.1	106.3	 990	OK
  43	     0	73.7	103.4	 996	OK
  44	     0	74.8	105.8	 991	OK
  45	     0	73.0	105.1	1006	OK
  46	     0	70.0	99.4	 966	OK
  47	     0	73.1	102.6	 995	OK
  48	     0	74.1	102.6	1004	OK
  49	     0	73.2	104.8	1007	OK
  50	     0	70.8	101.2	 973	OK
  51	     0	73.1	103.3	 982	OK
  52	     0	71.6	102.2	1015	OK
  53	     0	72.4	102.7	 990	OK
  54	     0	74.7	104.7	 997	OK
  55	     0	72.2	103.2	1012	OK
  56	     0	73.9	104.6	 988	OK
  57	     0	73.3	103.6	1001	OK
  58	     0	74.3	103.7	 995	OK
  59	     0	73.9	102.2	 988	OK
  60	     0	74.4	104.4	1000	OK
  61	     0	72.6	102.0	 989	OK
  62	     0	72.3	101.8	1002	OK
  63	     0	72.0	101.7	1009	OK
  64	     0	72.8	101.5	 990	OK
  65	     0	75.8	104.6	 991	OK
  66	     0	72.3	103.4	1012	OK
  67	     0	73.6	103.0	 990	OK
  68	     0	72.1	104.7	1014	OK
  69	     0	71.6	100.8	 999	OK
  70	     0	70.9	101.4	 992	OK
  71	     0	72.5	101.2	 998	OK
  72	     0	71.5	102.5	1012	OK
  73	     0	74.1	105.2	 999	OK
  74	     0	72.4	102.1	 988	OK
  75	     0	69.3	100.1	1014	OK
  76	     0	70.7	101.3	 986	OK
  77	     0	75.8	106.9	 988	OK
  78	     0	73.4	103.0	1014	OK
  79	     0	72.2	102.5	1000	OK
  80	     0	71.2	103.1	 990	OK
  81	     0	70.7	100.8	 999	OK
  82	     0	72.3	100.7	 990	OK
  83	     0	72.7	102.3	1007	OK
  84	     0	72.2	100.6	 981	OK
  85	     0	72.0	101.9	1007	OK
  86	     0	73.6	102.3	 994	OK
  87	     0	71.1	100.2	 997	OK
  88	     0	69.2	98.5	 997	OK
  89	     0	73.0	104.5	1001	OK
  90	     0	75.1	103.9	 992	OK
  91	     0	71.2	101.1	 990	OK
  92	     0	72.6	103.2	1006	OK
  93	     0	72.8	102.1	1005	OK
  94	     0	73.3	105.0	 969	OK
  95	     0	73.9	105.0	1007	OK
  96	     0	72.8	102.1	 988	OK
  97	     0	69.4	98.8	 980	OK
  98	     0	70.9	101.6	1008	OK
  99	     0	73.8	102.9	1005	OK
 100	     0	71.2	100.4	 984	OK
 101	     0	72.8	101.7	 983	OK
 102	     0	73.1	104.7	 959	OK
 103	     0	72.1	104.4	 995	OK
 104	     0	73.3	101.6	 982	OK
 105	     0	73.7	103.7	 987	OK
 106	     0	73.9	103.6	 971	OK
 107	     0	69.8	100.5	 998	OK
 108	     0	71.2	101.4	1000	OK
 109	     0	70.0	101.1	1003	OK
 110	     0	71.3	102.0	 996	OK
 111	     0	73.6	103.4	 999	OK
 112	     0	71.7	102.7	 990	OK
 113	     0	71.2	100.0	 983	OK
 114	     0	72.8	104.3	1000	OK
 115	     0	74.7	104.3	 971	OK
 116	     0	73.3	104.5	1004	OK
 117	     0	70.7	100.0	 989	OK
 118	     0	72.6	101.2	1019	OK
 119	     0	71.1	99.7	 968	OK
 120	     0	72.4	101.5	 968	OK
 121	     0	72.5	101.1	 984	OK
 122	     0	72.1	102.6	1007	OK
 123	     0	75.0	104.1	 983	OK
 124	     0	73.0	102.3	1006	OK
 125	     0	70.5	102.9	 999	OK
 126	     0	74.0	104.3	1017	OK
 127	     0	74.9	105.4	 977	OK
 128	  4000	76.2	105.3	1025	high noise
 129	     0	81.9	108.9	 998	OK
 130	     0	80.1	111.7	 988	OK
 131	     0	80.1	108.9	 986	OK
 132	     0	81.8	112.8	 982	OK
 133	     0	77.7	106.7	 999	OK
 134	     0	80.1	110.6	 998	OK
 135	     0	80.7	109.6	 983	OK
 136	     0	80.5	111.2	 972	OK
 137	     0	76.4	105.3	 990	OK
 138	     0	80.8	108.9	 993	OK
 139	 90000	0.1	42.1	44324	very low gain
 140	     0	77.2	105.2	 986	OK
 141	     0	82.0	110.9	1001	OK
 142	     0	77.3	105.9	 995	OK
 143	     0	77.5	106.4	 956	OK
 144	     0	77.5	107.1	 986	OK
 145	     0	81.1	111.1	 989	OK
 146	     0	78.3	108.1	 981	OK
 147	     0	76.0	105.3	 977	OK
 148	     0	76.8	105.9	 976	OK
 149	     0	79.8	112.9	 980	OK
 150	     0	78.6	107.3	 973	OK
 151	     0	81.0	111.3	 991	OK
 152	     0	79.0	108.8	 979	OK
 153	     0	74.5	104.7	 974	OK
 154	     0	80.3	109.2	 982	OK
 155	     0	81.2	109.3	 994	OK
 156	     0	78.2	107.3	 972	OK
 157	     0	77.3	108.2	 971	OK
 158	     0	78.4	106.2	 970	OK
 159	     0	83.0	114.5	 982	OK
 160	     0	78.2	106.1	 993	OK
 161	     0	77.1	110.0	 987	OK
 162	     0	79.1	110.0	 978	OK
 163	     0	78.7	110.2	 970	OK
 164	     0	78.1	106.1	 976	OK
 165	     0	76.3	104.9	 966	OK
 166	     0	80.6	111.1	 971	OK
 167	     0	78.1	111.0	 968	OK
 168	     0	79.0	107.6	 948	OK
 169	     0	75.3	106.0	 963	OK
 170	     0	77.8	106.1	 954	OK
 171	     0	77.5	108.1	 978	OK
 172	     0	78.6	107.3	 947	OK
 173	     0	77.9	107.4	 964	OK
 174	     0	76.5	106.5	 957	OK
 175	     0	76.3	106.1	 970	OK
 176	     0	78.7	108.1	 975	OK
 177	     0	79.2	106.6	 957	OK
 178	     0	81.8	115.6	 954	OK
 179	     0	80.6	111.7	 992	OK
 180	     0	78.9	109.5	 961	OK
 181	     0	77.8	106.4	 976	OK
 182	     0	79.9	110.9	 963	OK
 183	     0	78.7	108.2	 969	OK
 184	     0	78.5	110.2	 956	OK
 185	     0	75.5	106.4	 964	OK
 186	     0	77.1	105.5	 964	OK
 187	     0	77.3	107.1	 963	OK
 188	     0	77.9	105.9	 951	OK
