#chan	code	gain	vt50	innse	comment
   0	     4	61.2	68.8	5040	inefficient
   1	     4	62.6	77.8	4494	inefficient
   2	     4	58.8	73.2	4541	inefficient
   3	     4	70.7	86.3	4074	inefficient
   4	     4	62.6	75.0	4375	inefficient
   5	     4	62.6	72.6	4348	inefficient
   6	     4	68.1	88.3	4031	inefficient
   7	     4	68.2	88.7	4009	inefficient
   8	     4	66.5	79.3	4166	inefficient
   9	     4	66.2	87.4	4038	inefficient
  10	     4	63.5	81.9	4137	inefficient
  11	     4	67.7	85.1	4061	inefficient
  12	     4	65.3	81.8	4216	inefficient
  13	     4	67.2	84.3	4049	inefficient
  14	     4	65.2	86.2	4043	inefficient
  15	     4	65.1	82.4	4173	inefficient
  16	     4	63.2	80.7	4213	inefficient
  17	     4	63.6	85.0	4168	inefficient
  18	     4	63.6	79.2	4308	inefficient
  19	     4	65.3	83.5	4145	inefficient
  20	     4	67.1	84.9	4120	inefficient
  21	     4	69.6	91.0	4031	inefficient
  22	     4	63.2	78.7	4310	inefficient
  23	     4	65.5	83.2	4174	inefficient
  24	     4	62.0	75.3	4404	inefficient
  25	     4	66.0	83.0	4245	inefficient
  26	     4	66.6	82.8	4184	inefficient
  27	     4	65.2	82.5	4240	inefficient
  28	     4	59.2	76.4	4477	inefficient
  29	     4	61.3	80.7	4378	inefficient
  30	     4	63.2	82.9	4206	inefficient
  31	     4	64.8	84.7	4197	inefficient
  32	     4	63.5	83.0	4213	inefficient
  33	     4	64.4	84.4	4257	inefficient
  34	     4	64.8	81.2	4252	inefficient
  35	     4	64.8	82.2	4226	inefficient
  36	     4	64.9	84.0	4195	inefficient
  37	     4	63.9	84.2	4166	inefficient
  38	     4	58.6	73.9	4507	inefficient
  39	     4	64.2	79.0	4343	inefficient
  40	     4	66.0	80.2	4283	inefficient
  41	     4	68.5	92.3	4017	inefficient
  42	     4	59.2	70.7	4538	inefficient
  43	     4	64.8	84.7	4167	inefficient
  44	     4	63.6	85.1	4200	inefficient
  45	     4	60.4	72.1	4496	inefficient
  46	     4	64.9	83.3	4232	inefficient
  47	     4	64.4	81.6	4237	inefficient
  48	     4	65.1	85.3	4189	inefficient
  49	     4	65.3	86.5	4120	inefficient
  50	     4	61.5	77.6	4622	inefficient
  51	     4	67.2	86.0	4228	inefficient
  52	     4	62.8	83.9	4284	inefficient
  53	     4	65.2	80.0	4349	inefficient
  54	     4	65.4	83.6	4258	inefficient
  55	     4	71.4	93.4	4020	inefficient
  56	     4	65.1	88.1	4141	inefficient
  57	     4	69.4	89.2	4121	inefficient
  58	     4	62.2	84.3	4313	inefficient
  59	     4	60.8	79.4	4375	inefficient
  60	     4	65.5	84.2	4267	inefficient
  61	     4	64.2	82.4	4304	inefficient
  62	     4	65.7	84.8	4145	inefficient
  63	     4	61.7	78.4	4464	inefficient
  64	     4	60.8	71.8	4640	inefficient
  65	     4	66.8	88.9	4168	inefficient
  66	     4	67.3	83.3	4277	inefficient
  67	     4	62.7	80.4	4344	inefficient
  68	     4	64.6	84.4	4252	inefficient
  69	     4	58.6	74.9	4484	inefficient
  70	     4	59.9	72.9	4589	inefficient
  71	     4	64.9	85.2	4076	inefficient
  72	     4	61.9	79.4	4292	inefficient
  73	     4	59.8	76.9	4440	inefficient
  74	     4	64.6	81.3	4229	inefficient
  75	     4	63.6	82.0	4298	inefficient
  76	     4	62.6	82.7	4308	inefficient
  77	     4	64.3	83.4	4206	inefficient
  78	     4	63.4	82.0	4309	inefficient
  79	     4	64.2	81.8	4240	inefficient
  80	     4	64.9	84.0	4248	inefficient
  81	     4	55.3	66.4	4741	inefficient
  82	     4	58.2	77.9	4441	inefficient
  83	     4	66.2	85.7	4203	inefficient
  84	     4	56.6	72.3	4620	inefficient
  85	     4	60.6	77.2	4450	inefficient
  86	     4	61.6	79.2	4363	inefficient
  87	     4	65.0	84.4	4231	inefficient
  88	     4	63.5	80.2	4413	inefficient
  89	     4	54.7	65.8	4826	inefficient
  90	     4	60.5	80.7	4358	inefficient
  91	     4	64.6	83.7	4265	inefficient
  92	     4	63.9	84.3	4254	inefficient
  93	     4	60.5	76.8	4479	inefficient
  94	     4	57.7	70.3	4593	inefficient
  95	     4	63.2	82.2	4328	inefficient
  96	     4	64.9	87.1	4173	inefficient
  97	     4	63.3	85.4	4247	inefficient
  98	     4	59.8	77.7	4456	inefficient
  99	     4	62.1	80.1	4397	inefficient
 100	     4	54.5	62.9	4801	inefficient
 101	     4	61.6	78.8	4454	inefficient
 102	     4	61.2	73.1	4579	inefficient
 103	     4	65.5	87.0	4257	inefficient
 104	     4	66.5	82.5	4269	inefficient
 105	     4	67.9	85.8	4200	inefficient
 106	     4	68.5	88.6	4209	inefficient
 107	     4	64.8	84.9	4333	inefficient
 108	     4	64.1	80.6	4397	inefficient
 109	     4	65.1	84.9	4214	inefficient
 110	     4	64.2	81.3	4365	inefficient
 111	     4	72.1	112.2	3633	inefficient
 112	     4	61.4	79.6	4434	inefficient
 113	     4	59.1	78.0	4494	inefficient
 114	     4	63.9	84.2	4288	inefficient
 115	     4	64.2	87.4	4294	inefficient
 116	     4	63.8	82.1	4307	inefficient
 117	     4	63.9	80.4	4303	inefficient
 118	     4	60.7	79.7	4420	inefficient
 119	     4	66.2	86.4	4158	inefficient
 120	     4	68.5	91.5	4135	inefficient
 121	     4	59.5	74.3	4583	inefficient
 122	     4	59.1	71.8	4623	inefficient
 123	     4	67.1	88.1	4204	inefficient
 124	     4	59.2	70.8	4615	inefficient
 125	     4	62.2	80.6	4339	inefficient
 126	     4	58.7	75.8	4507	inefficient
 127	     4	61.3	78.8	4415	inefficient
 128	     4	62.3	82.7	4455	inefficient
 129	     4	61.6	79.8	4496	inefficient
 130	     4	58.1	73.5	4587	inefficient
 131	     4	63.8	86.8	4173	inefficient
 132	     4	54.0	61.6	4789	inefficient
 133	     4	57.1	72.0	4716	inefficient
 134	     4	58.3	76.5	4559	inefficient
 135	     4	60.9	81.2	4429	inefficient
 136	     4	64.4	86.4	4248	inefficient
 137	     4	55.2	66.2	4829	inefficient
 138	     4	61.3	76.5	4504	inefficient
 139	     4	63.2	83.2	4254	inefficient
 140	     4	59.2	78.5	4404	inefficient
 141	     4	62.6	81.5	4308	inefficient
 142	     4	60.0	76.5	4423	inefficient
 143	     4	64.8	86.2	4158	inefficient
 144	     4	61.4	78.0	4403	inefficient
 145	     4	64.0	86.1	4194	inefficient
 146	     4	61.8	85.1	4217	inefficient
 147	     4	59.5	77.2	4500	inefficient
 148	     4	66.7	86.6	4171	inefficient
 149	     4	56.2	72.9	4631	inefficient
 150	     4	56.2	72.3	4612	inefficient
 151	     4	65.6	83.1	4245	inefficient
 152	     4	62.1	81.4	4288	inefficient
 153	     4	61.2	78.7	4386	inefficient
 154	     4	54.4	68.1	4723	inefficient
 155	     4	60.1	78.8	4388	inefficient
 156	     4	60.5	81.3	4363	inefficient
 157	     4	63.0	82.5	4275	inefficient
 158	     4	58.7	76.2	4503	inefficient
 159	     4	62.9	79.6	4264	inefficient
 160	     4	60.0	79.2	4351	inefficient
 161	     4	62.9	84.4	4152	inefficient
 162	     4	57.0	75.0	4538	inefficient
 163	     4	63.8	84.5	4192	inefficient
 164	     4	59.6	79.8	4479	inefficient
 165	     4	56.9	75.0	4453	inefficient
 166	     4	63.7	84.5	4221	inefficient
 167	     4	61.0	82.3	4278	inefficient
 168	     4	62.6	77.7	4356	inefficient
 169	     4	58.7	69.7	4616	inefficient
 170	     4	64.9	82.6	4304	inefficient
 171	     4	62.4	80.5	4308	inefficient
 172	     4	61.4	83.3	4327	inefficient
 173	     4	61.1	74.8	4448	inefficient
 174	     4	60.8	79.8	4321	inefficient
 175	     4	60.7	78.4	4392	inefficient
 176	     4	55.3	64.4	4755	inefficient
 177	     4	64.5	83.8	4168	inefficient
 178	     4	61.4	82.8	4206	inefficient
 179	     4	61.4	83.0	4315	inefficient
 180	     4	61.6	74.7	4366	inefficient
 181	     4	62.6	80.1	4370	inefficient
 182	     4	66.9	84.8	4165	inefficient
 183	     4	64.0	82.4	4242	inefficient
 184	     4	63.0	81.3	4278	inefficient
 185	     4	59.1	75.1	4417	inefficient
 186	     4	56.1	69.1	4643	inefficient
 187	     4	64.3	79.5	4326	inefficient
 188	     4	56.1	67.0	4625	inefficient
 189	     4	60.9	80.6	4352	inefficient
 190	     4	66.0	83.3	4189	inefficient
 191	     4	61.9	78.3	4359	inefficient
 192	     4	62.9	80.4	4230	inefficient
 193	     4	64.2	82.3	4200	inefficient
 194	     4	64.0	85.1	4166	inefficient
 195	     4	62.7	81.2	4250	inefficient
 196	     4	57.4	72.0	4533	inefficient
 197	     4	57.5	71.7	4457	inefficient
 198	     4	62.0	77.4	4304	inefficient
 199	     4	69.6	90.0	3991	inefficient
 200	     4	60.6	74.2	4397	inefficient
 201	     4	61.8	79.2	4281	inefficient
 202	     4	63.7	81.2	4206	inefficient
 203	     4	62.7	84.5	4235	inefficient
 204	     4	61.3	73.7	4383	inefficient
 205	     4	62.3	81.5	4271	inefficient
 206	     4	58.1	75.8	4331	inefficient
 207	     4	62.0	79.7	4228	inefficient
 208	     4	61.1	78.9	4311	inefficient
 209	     4	61.2	77.4	4344	inefficient
 210	     4	60.6	79.7	4277	inefficient
 211	     4	60.9	76.4	4419	inefficient
 212	     4	66.0	83.7	4084	inefficient
 213	     4	59.4	78.9	4365	inefficient
 214	     4	60.3	78.4	4219	inefficient
 215	     4	59.6	77.0	4352	inefficient
 216	     4	61.5	80.4	4217	inefficient
 217	     4	57.5	74.9	4477	inefficient
 218	     4	64.5	82.4	4139	inefficient
 219	     4	64.4	81.9	4194	inefficient
 220	     4	62.6	79.6	4256	inefficient
