#chan	code	gain	vt50	innse	comment
   0	     0	90.0	166.6	 768	OK
   1	     0	83.9	156.7	 748	OK
   2	     0	82.7	154.8	 735	OK
   3	     0	87.0	163.0	 754	OK
   4	     0	85.8	159.6	 755	OK
   5	     0	86.5	162.6	 771	OK
   6	     0	84.7	156.5	 716	OK
   7	     0	83.6	156.9	 764	OK
   8	     0	88.0	163.6	 737	OK
   9	     0	83.2	157.2	 750	OK
  10	     0	82.9	154.9	 751	OK
  11	     0	85.4	160.0	 758	OK
  12	     0	86.2	161.1	 767	OK
  13	     0	85.6	158.9	 801	OK
  14	     0	82.3	152.7	 804	OK
  15	     0	84.6	156.5	 818	OK
  16	     0	83.8	154.9	 821	OK
  17	     0	82.7	153.0	 807	OK
  18	     0	85.4	159.8	 812	OK
  19	     0	85.1	158.0	 818	OK
  20	     0	85.6	160.2	 817	OK
  21	     0	86.9	161.8	 824	OK
  22	     0	85.8	160.9	 815	OK
  23	     0	85.0	158.9	 831	OK
  24	     0	86.6	159.4	 832	OK
  25	     0	86.9	162.2	 826	OK
  26	     0	87.0	160.8	 834	OK
  27	     0	85.4	157.7	 816	OK
  28	     0	82.6	152.9	 842	OK
  29	     0	83.7	154.8	 831	OK
  30	     0	82.5	153.7	 834	OK
  31	     0	84.3	156.2	 828	OK
  32	     0	83.0	156.6	 842	OK
  33	     0	84.3	157.5	 845	OK
  34	     0	86.7	161.7	 828	OK
  35	     0	85.2	158.9	 839	OK
  36	     0	84.3	155.8	 842	OK
  37	     0	83.8	154.8	 845	OK
  38	     0	83.0	154.9	 836	OK
  39	     0	86.1	161.2	 827	OK
  40	     0	88.9	165.3	 823	OK
  41	     0	84.2	157.8	 841	OK
  42	     0	84.8	158.2	 854	OK
  43	     0	84.1	155.4	 863	OK
  44	     0	82.7	155.4	 835	OK
  45	     0	86.4	160.2	 848	OK
  46	     0	85.3	156.6	 851	OK
  47	     0	84.5	156.1	 843	OK
  48	     0	84.1	156.6	 846	OK
  49	     0	83.0	153.2	 821	OK
  50	     0	85.4	159.4	 840	OK
  51	     0	85.1	157.6	 864	OK
  52	     0	83.2	155.7	 857	OK
  53	     0	87.5	161.5	 849	OK
