#chan	code	gain	vt50	innse	comment
   0	     4	57.9	67.3	5134	inefficient
   1	     4	64.6	73.8	4523	inefficient
   2	     4	62.4	71.1	4437	inefficient
   3	     4	62.1	69.2	4396	inefficient
   4	     4	78.7	118.8	3219	inefficient
   5	     4	63.4	69.2	4211	inefficient
   6	     4	54.1	58.1	4585	inefficient
   7	     4	68.6	80.4	3879	inefficient
   8	     4	66.3	75.6	3975	inefficient
   9	     4	70.5	79.6	3859	inefficient
  10	     4	75.8	114.8	3218	inefficient
  11	     4	63.7	72.0	4014	inefficient
  12	     4	55.8	59.6	4536	inefficient
  13	     4	61.4	66.8	4288	inefficient
  14	     4	64.9	74.4	4033	inefficient
  15	     4	58.7	66.9	4234	inefficient
  16	     4	68.2	81.5	3850	inefficient
  17	     4	65.7	75.8	4008	inefficient
  18	     4	62.0	72.2	4114	inefficient
  19	     4	65.6	75.3	4016	inefficient
  20	     4	57.5	64.5	4417	inefficient
  21	     4	61.2	70.3	4228	inefficient
  22	     4	59.1	67.5	4235	inefficient
  23	     4	66.6	80.8	3890	inefficient
  24	     4	61.7	69.8	4174	inefficient
  25	     4	69.2	78.9	3889	inefficient
  26	     4	59.6	65.9	4364	inefficient
  27	     4	60.2	68.4	4276	inefficient
  28	     4	64.0	75.6	4062	inefficient
  29	     4	62.5	74.4	4123	inefficient
  30	     4	59.1	67.2	4335	inefficient
  31	     4	71.1	87.6	3729	inefficient
  32	     4	70.7	156.9	2732	inefficient
  33	     4	65.0	71.0	4227	inefficient
  34	     4	76.7	105.1	3398	inefficient
  35	     4	69.3	154.5	2824	inefficient
  36	     4	62.7	72.1	4209	inefficient
  37	     4	64.7	77.4	3966	inefficient
  38	     4	64.0	74.2	4152	inefficient
  39	     4	75.9	114.5	3245	inefficient
  40	     4	58.7	62.0	4432	inefficient
  41	     4	74.3	122.4	3087	inefficient
  42	     4	61.1	67.8	4228	inefficient
  43	     4	71.3	87.4	3829	inefficient
  44	     4	69.6	162.6	2802	inefficient
  45	     4	72.2	148.4	2760	inefficient
  46	     4	75.7	137.2	2841	inefficient
  47	     4	57.6	62.0	4462	inefficient
  48	     4	69.8	84.0	3846	inefficient
  49	     4	62.1	71.7	4168	inefficient
  50	     4	63.1	72.1	4141	inefficient
  51	     4	60.0	69.8	4282	inefficient
  52	     4	69.6	83.4	3804	inefficient
  53	     4	61.6	69.6	4240	inefficient
  54	     4	59.9	69.1	4252	inefficient
  55	     4	72.5	151.8	2814	inefficient
  56	     4	59.3	67.3	4308	inefficient
  57	     4	63.4	72.5	4184	inefficient
  58	     4	62.9	73.9	4088	inefficient
  59	     4	62.3	71.7	4184	inefficient
  60	     4	56.7	60.3	4555	inefficient
  61	     4	68.4	85.9	3799	inefficient
  62	     4	63.1	71.0	4151	inefficient
  63	     4	76.0	118.7	3245	inefficient
  64	     4	69.7	82.1	3809	inefficient
  65	     4	61.6	68.2	4211	inefficient
  66	     4	64.5	75.3	4073	inefficient
  67	     4	63.5	72.9	4155	inefficient
  68	     4	56.2	61.7	4528	inefficient
  69	     4	58.8	65.2	4372	inefficient
  70	     4	69.9	161.3	2820	inefficient
  71	     4	63.9	74.1	4136	inefficient
  72	     4	67.9	76.3	3964	inefficient
  73	     4	57.8	67.4	4283	inefficient
  74	     4	57.6	64.9	4359	inefficient
  75	     4	58.8	68.1	4257	inefficient
  76	     4	53.8	58.5	4584	inefficient
  77	     4	63.2	68.6	4165	inefficient
  78	     4	68.5	84.2	3815	inefficient
  79	     4	71.3	148.2	2730	inefficient
  80	     4	57.2	61.9	4530	inefficient
  81	     4	64.2	72.0	4120	inefficient
  82	     4	73.5	86.3	3739	inefficient
  83	     4	72.1	95.1	3690	inefficient
  84	     4	70.9	159.8	2744	inefficient
  85	     4	66.0	168.3	2869	inefficient
  86	     4	75.6	106.5	3396	inefficient
  87	     4	61.2	73.5	4184	inefficient
  88	     4	62.9	69.0	4157	inefficient
  89	     4	68.1	78.2	3945	inefficient
  90	     4	60.9	72.1	4199	inefficient
  91	     4	60.6	65.1	4237	inefficient
  92	     4	63.6	69.4	4193	inefficient
  93	     4	57.7	62.1	4464	inefficient
  94	     4	68.8	84.9	3813	inefficient
  95	     4	53.7	57.7	4533	inefficient
  96	     4	72.6	133.5	2864	inefficient
  97	     4	63.6	72.9	4194	inefficient
  98	     4	62.2	72.5	4182	inefficient
  99	     4	67.7	80.5	3971	inefficient
 100	     4	63.8	72.7	4113	inefficient
 101	     4	67.3	77.7	3956	inefficient
 102	     4	67.6	155.7	2786	inefficient
 103	     4	65.3	75.6	3940	inefficient
